date,hash,news_article
28/03/2024,2ef670933b85ceabb2d94b99996f255f,"The Kenyan shilling edged higher against the dollar in thin trade on Tuesday.
Expected range today is 127.50 —133.00"
29/03/2024,2ef670933b85ceabb2d94b99996f255f,"The Kenyan shilling edged higher against the dollar in thin trade on Tuesday.
Expected range today is 127.50 —133.00"
